"Question","Answer"
"What are the admissions deadlines for SUTD?","
<|end_of_text|>
The application window to apply for special programmes is at the point of your application for admission to the university. There is no second application window for SHARP. However, if you have been offered and accepted a place in SUTD, you may indicate your interest to apply for the SUTD-Duke-NUS Special Track by mid-June, if you had not done so earlier."
"Is there financial aid available?","
<|end_of_text|>
There are various options to finance your housing fees:  
1. Singapore Citizens may choose to utilise funds from their Post-Secondary Education Account (PSEA) to pay for their housing fees in the first 2academic terms of their Freshmore year.
2. All students can apply for a Study Loan from DBS bank which provides an allowance that can be used to pay for the housing fees, provided they are already under a Tuition Fee Loan or the CPF Education Loan Scheme, or receiving the Mendaki Tertiary Tuition Fee Subsidy.  

There are also scholarships and awards available, both SUTD-administered and externally supported, which can help fund your studies."
"What is the minimum score for the Mother Tongue Language?","
<|end_of_text|>
The minimum score for the Mother Tongue Language (MTL) is not explicitly stated in the given context."
"Do I require reference letters?","
<|end_of_text|>
Yes, you will need to upload one reference letter or input the referee's details and email address in the online application form."
"Can polytechnic diploma students apply?","
<|end_of_text|>
Yes, a local polytechnic student can apply with only 5 semesters results."
"Do I need SAT score?","
<|end_of_text|>
Submission of either IELTS, TOEFL, SAT, Pearson Test of English Academic (PTE Academic), ACT scores or C1 Advanced is compulsory for applicants who are presenting qualifications where English is not the medium of instruction."
"How many PhD students does SUTD have?","
<|end_of_text|>
Sorry, I do not know the answer to that question."
"How much are the tuition fees for Singaporeans?","
<|end_of_text|>
The tuition fees for Singaporeans are S$14,600 per academic year, and S$7,300 per term."
"How much are the tuition fees for international students?","
<|end_of_text|>
The tuition fees for international students are as follows: S$31,400 per academic year, S$15,700 per term."
"Is there a minimum CAP?","
<|end_of_text|>
No, SUTD does not impose a minimum CAP score requirement."
